iter	Logloss
0	0.6350311445
1	0.5916103106
2	0.5580413822
3	0.532097628
4	0.5108600785
5	0.4949103493
6	0.4828377386
7	0.472838468
8	0.4639060383
9	0.4548028463
10	0.4477087661
11	0.4416394464
12	0.4360872747
13	0.4318525017
14	0.4288549055
15	0.4263316743
16	0.4237513028
17	0.4214401127
18	0.419868523
19	0.4181992987
20	0.41684131
21	0.4153613815
22	0.4146188262
23	0.4136345873
24	0.412696101
25	0.4116812754
26	0.4108979857
27	0.4101515485
28	0.4093302718
29	0.4088286998
30	0.4082854042
31	0.4077991047
32	0.4073071884
33	0.4066822025
34	0.4061578312
35	0.4057085775
36	0.4053165698
37	0.4048493662
38	0.4044949183
39	0.4043103524
40	0.4040173356
41	0.4036077089
42	0.4033788
43	0.4030320599
44	0.4026784033
45	0.4023840842
46	0.4020588774
47	0.401701138
48	0.4014444282
49	0.4011943561
50	0.4010106383
51	0.4008439482
52	0.4006117562
53	0.4004568135
54	0.400164578
55	0.3999201651
56	0.3997660212
57	0.3996444369
58	0.399482422
59	0.399189474
60	0.3989205544
61	0.3987406849
62	0.3985456924
63	0.3983718764
64	0.3982139969
65	0.3980270248
66	0.3979002389
67	0.3977480782
68	0.3975957549
69	0.3973365744
70	0.3971850719
71	0.3969967016
72	0.396804888
73	0.3966640828
74	0.3965230649
75	0.3963409852
76	0.3962255356
77	0.3961192506
78	0.3959560927
79	0.3957752257
80	0.3956408082
81	0.3955275321
82	0.3953946399
83	0.3952243643
84	0.3951190492
85	0.3949809199
86	0.3948406752
87	0.3947154099
88	0.3946139217
89	0.3945329293
90	0.3944058431
91	0.39427851
92	0.3941439481
93	0.3940189414
94	0.3938995062
95	0.3937807021
96	0.3936908848
97	0.3935823184
98	0.3934153027
99	0.3932857651
