iter	Passed	Remaining
0	155	15437
1	315	15479
2	523	16933
3	683	16398
4	846	16088
5	987	15475
6	1145	15217
7	1282	14745
8	1413	14295
9	1565	14091
10	1698	13740
11	1832	13438
12	1976	13228
13	2135	13117
14	2298	13023
15	2435	12784
16	2578	12589
17	2756	12557
18	2928	12482
19	3076	12307
20	3241	12194
21	3428	12156
22	3597	12043
23	3765	11924
24	3935	11806
25	4092	11646
26	4254	11501
27	4424	11376
28	4599	11260
29	4752	11088
30	4984	11093
31	5179	11006
32	5348	10858
33	5501	10678
34	5662	10516
35	5797	10306
36	5929	10095
37	6067	9899
38	6218	9727
39	6364	9546
40	6494	9345
41	6634	9162
42	6766	8969
43	6901	8783
44	7055	8623
45	7286	8553
46	7456	8407
47	7612	8247
48	7759	8076
49	7903	7903
50	8069	7753
51	8232	7599
52	8407	7455
53	8542	7276
54	8678	7100
55	8885	6981
56	9061	6836
57	9251	6699
58	9486	6592
59	9680	6453
60	9843	6293
61	10117	6201
62	10338	6071
63	10514	5914
64	10732	5779
65	10871	5600
66	10998	5417
67	11136	5240
68	11277	5066
69	11419	4893
70	11560	4721
71	11743	4566
72	11879	4393
73	12011	4220
74	12209	4069
75	12371	3906
76	12529	3742
77	12681	3576
78	12828	3410
79	12974	3243
80	13145	3083
81	13335	2927
82	13479	2760
83	13638	2597
84	13785	2432
85	13994	2278
86	14158	2115
87	14320	1952
88	14454	1786
89	14586	1620
90	14712	1455
91	14843	1290
92	14977	1127
93	15120	965
94	15261	803
95	15402	641
96	15538	480
97	15684	320
98	15868	160
99	16016	0
